antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'service_http'}),frozenset({'dst_bytes'}),0.3324040941998835,0.4533577431971374,0.29861862361654323,0.8983602453373389,1.9815703135497067,1.0,0.1479206536405954,5.378232745810435,0.7419903605545797,0.6129996583532628,0.8140653171287566,0.7785211652531041
frozenset({'serror_rate'}),frozenset({'count'}),0.3241657651660148,0.4992926687193143,0.29595572938337356,0.9129765113592607,1.8285397895007058,1.0,0.13410213938619547,5.7537032713979706,0.6704536617311423,0.561050638902035,0.826198892638231,0.7528632556796304
frozenset({'count'}),frozenset({'diff_srv_rate'}),0.4992926687193143,0.3890322043771324,0.37342930847965383,0.7479166666666667,1.9225057932263816,1.0,0.1791883809384377,2.4236738999915413,0.9583353201213091,0.7252525252525253,0.5874032393534914,0.8539048573975045
frozenset({'diff_srv_rate'}),frozenset({'count'}),0.3890322043771324,0.4992926687193143,0.37342930847965383,0.9598930481283423,1.9225057932263816,1.0,0.1791883809384377,12.484302793265115,0.7853859467678993,0.7252525252525253,0.9198994115602941,0.8539048573975045
frozenset({'count'}),frozenset({'dst_host_diff_srv_rate'}),0.4992926687193143,0.488100191395523,0.3638595323292003,0.72875,1.4930336288466457,1.0,0.12015468516492153,1.8871882344865514,0.6595124562738336,0.5835446416655545,0.4701111517516052,0.737105372517262
frozenset({'dst_host_diff_srv_rate'}),frozenset({'count'}),0.488100191395523,0.4992926687193143,0.3638595323292003,0.745460745034524,1.4930336288466457,1.0,0.12015468516492153,1.967112425738019,0.6450924895390809,0.5835446416655545,0.491640647013441,0.737105372517262
frozenset({'count'}),frozenset({'class'}),0.4992926687193143,0.4885994840642423,0.38753432637097446,0.7761666666666667,1.5885540038036845,1.0,0.14358018603765882,2.2847379714181284,0.7399466096507251,0.6455055790422066,0.5623130474873214,0.78466001731528
frozenset({'class'}),frozenset({'count'}),0.4885994840642423,0.4992926687193143,0.38753432637097446,0.7931533679638935,1.5885540038036845,1.0,0.14358018603765882,2.4206694900078607,0.7244746156160462,0.6455055790422066,0.5868911455579371,0.78466001731528
frozenset({'service_ecr_i'}),frozenset({'count'}),0.02546392610468503,0.4992926687193143,0.021802446534076723,0.8562091503267973,1.7148442265795205,1.0,0.009088494913197121,3.4821918948156765,0.42774881839413714,0.043348775645268026,0.7128245570013501,0.449937908496732
frozenset({'service_private'}),frozenset({'count'}),0.17770658234168263,0.4992926687193143,0.14554381293168012,0.8190119409974245,1.640344415827675,1.0,0.05681621918531282,2.7665213608018218,0.4747355649871213,0.2738589211618257,0.6385352326684477,0.5552559704987122
frozenset({'serror_rate'}),frozenset({'diff_srv_rate'}),0.3241657651660148,0.3890322043771324,0.3025713572439045,0.9333846746245669,2.399247836355812,1.0,0.17646043503776992,9.171580145853113,0.8629375050415219,0.7368527713040837,0.8909675340456851,0.855569342659877
frozenset({'diff_srv_rate'}),frozenset({'serror_rate'}),0.3890322043771324,0.3241657651660148,0.3025713572439045,0.7777540106951872,2.399247836355812,1.0,0.17646043503776992,3.040928823723659,0.9545555634969654,0.7368527713040837,0.671153105525342,0.855569342659877
frozenset({'serror_rate'}),frozenset({'dst_host_diff_srv_rate'}),0.3241657651660148,0.488100191395523,0.2991179162852625,0.9227313566936208,1.8904548143188544,1.0,0.14089254426385453,6.62493589507887,0.6969560582489852,0.5829076461525987,0.8490551431987712,0.7677760440445344
frozenset({'serror_rate'}),frozenset({'class'}),0.3241657651660148,0.4885994840642423,0.3081051843222102,0.950455653959697,1.9452653655171046,1.0,0.149717958710805,10.322076216724046,0.7190096243816949,0.6105202407453212,0.9031202658259992,0.7905220448117484
frozenset({'rerror_rate'}),frozenset({'dst_host_diff_srv_rate'}),0.1321461263210452,0.488100191395523,0.10593326121328119,0.8016372795969773,1.642362149674687,1.0,0.041432711663802066,2.5806250668695534,0.4506759770194854,0.20597039074508533,0.6124969826736366,0.5093345378463959
frozenset({'rerror_rate'}),frozenset({'class'}),0.1321461263210452,0.4885994840642423,0.10768078555379879,0.8148614609571788,1.6677493274840192,1.0,0.04311425641224792,2.76225856906797,0.461355899900453,0.20987754440029194,0.6379774105154044,0.5176240371293601
frozenset({'flag_RSTR'}),frozenset({'rerror_rate'}),0.020262960805525504,0.1321461263210452,0.020262960805525504,1.0,7.567380352644836,1.0,0.017585289027280144,inf,0.8858028623603856,0.15333753148614607,1.0,0.576668765743073
frozenset({'dst_host_diff_srv_rate'}),frozenset({'diff_srv_rate'}),0.488100191395523,0.3890322043771324,0.36573187983689776,0.7492967351461939,1.9260532334228475,1.0,0.1758451864213972,2.4370157124963825,0.9392532339245577,0.715157432267513,0.5896620629599308,0.8447018435089259
frozenset({'diff_srv_rate'}),frozenset({'dst_host_diff_srv_rate'}),0.3890322043771324,0.488100191395523,0.36573187983689776,0.9401069518716578,1.9260532334228475,1.0,0.1758451864213972,8.546898590092617,0.7869540000663194,0.715157432267513,0.8829984947804131,0.8447018435089259
frozenset({'diff_srv_rate'}),frozenset({'class'}),0.3890322043771324,0.4885994840642423,0.3754264791545311,0.9650267379679145,1.9750875091817133,1.0,0.18534554481148935,14.622614140670771,0.8080512970983413,0.7475559237779621,0.9316127752274718,0.866699692751308
frozenset({'class'}),frozenset({'diff_srv_rate'}),0.4885994840642423,0.3890322043771324,0.3754264791545311,0.7683726475347016,1.9750875091817133,1.0,0.18534554481148935,2.6377186852938737,0.9653750912531155,0.7475559237779621,0.6208845144953022,0.866699692751308
frozenset({'service_private'}),frozenset({'diff_srv_rate'}),0.17770658234168263,0.3890322043771324,0.14670882915869185,0.8255677827206742,2.122106533680073,1.0,0.07757524569798067,3.502608664570827,0.6430431182398547,0.34928182268449737,0.7144985078935361,0.6013400410929575
frozenset({'service_eco_i'}),frozenset({'dst_host_same_srv_rate'}),0.0365315802612965,0.49887659149538155,0.03594907214779063,0.9840546697038725,1.9725412787041594,1.0,0.017724321905095076,31.427596619075388,0.51173421975266,0.07197600799733422,0.9681808312572958,0.5280573598727869
frozenset({'service_http'}),frozenset({'dst_host_same_srv_rate'}),0.3324040941998835,0.49887659149538155,0.32250145627028376,0.9702090374264614,1.944787656839664,1.0,0.15667283475673616,16.821323153543673,0.7276932672144074,0.6338730781812233,0.94055164442939,0.8083322084546819
frozenset({'dst_host_diff_srv_rate'}),frozenset({'class'}),0.488100191395523,0.4885994840642423,0.40500956977615044,0.8297672832665587,1.6982565686816378,1.0,0.16652406808863995,3.0041259150938275,0.8032056590539596,0.7084425036390102,0.6671244720550379,0.8293433197393851
frozenset({'class'}),frozenset({'dst_host_diff_srv_rate'}),0.4885994840642423,0.488100191395523,0.40500956977615044,0.8289193562122115,1.6982565686816375,1.0,0.16652406808863995,2.9921550285925194,0.8039898481279688,0.7084425036390102,0.6657927178090132,0.8293433197393851
frozenset({'service_private'}),frozenset({'dst_host_diff_srv_rate'}),0.17770658234168263,0.488100191395523,0.1682616293584089,0.946850854600796,1.939869869531628,1.0,0.08152301250518934,9.631383623567041,0.5892075671384439,0.33818364274962365,0.8961727578213061,0.6457892496514337
frozenset({'flag_RSTR'}),frozenset({'dst_host_diff_srv_rate'}),0.020262960805525504,0.488100191395523,0.019056336856120498,0.940451745379877,1.9267596324661123,1.0,0.009165981808703517,8.596386441047622,0.49094183647941503,0.03894557823129252,0.8836720514069708,0.48974680014710326
frozenset({'service_eco_i'}),frozenset({'class'}),0.0365315802612965,0.4885994840642423,0.033951901472913375,0.929384965831435,1.9021407024433885,1.0,0.016102590205192446,7.2420911772837915,0.49225955497071866,0.06912325285895808,0.8619183360827197,0.4994365857855123
frozenset({'service_ecr_i'}),frozenset({'class'}),0.02546392610468503,0.4885994840642423,0.02392444037613381,0.9395424836601307,1.9229297498328861,1.0,0.011482779219134712,8.458840966288749,0.4925012158765634,0.04881154499151104,0.8817804940434123,0.4942539123571879
frozenset({'service_private'}),frozenset({'class'}),0.17770658234168263,0.4885994840642423,0.17275526337688274,0.9721376726761881,1.989641218181002,1.0,0.08592791892991682,18.354551290433704,0.6048897035847821,0.3500252908447142,0.9455176002847209,0.662855006822638
frozenset({'flag_RSTR'}),frozenset({'class'}),0.020262960805525504,0.4885994840642423,0.019514021802446536,0.9630390143737168,1.9710193026873806,1.0,0.009613549607252811,13.836225070039712,0.5028372688004203,0.03987756143185104,0.9277259516278502,0.5014888506255026
"frozenset({'dst_bytes', 'hot'})",frozenset({'src_bytes'}),0.019514021802446536,0.4909295165182658,0.019430806357659983,0.9957356076759062,2.0282659204070455,1.0,0.009850797068858008,119.37702837646678,0.5170578803628034,0.03957291754936023,0.9916231789851025,0.5176576165339443
"frozenset({'src_bytes', 'hot'})",frozenset({'dst_bytes'}),0.020138137638345675,0.4533577431971374,0.019430806357659983,0.9648760330578514,2.128288415795925,1.0,0.010301025725746258,15.563226605446282,0.5410342930663722,0.042792999175295526,0.9357459718764196,0.5038678990546233
frozenset({'hot'}),"frozenset({'dst_bytes', 'src_bytes'})",0.020470999417491885,0.42456519930099024,0.019430806357659983,0.9491869918699188,2.23566838128201,1.0,0.010739532410082086,11.324556877756544,0.5642573835417752,0.045654511682471415,0.9116963241215928,0.49747667900042397
"frozenset({'dst_bytes', 'count'})",frozenset({'src_bytes'}),0.1081800782225181,0.4909295165182658,0.09540650744778231,0.8819230769230769,1.7964352259317935,1.0,0.04229771394909333,4.311346114177554,0.4971205637354252,0.18941020981331574,0.7680538807330798,0.5381307900930327
"frozenset({'count', 'src_bytes'})",frozenset({'dst_bytes'}),0.12082882583007407,0.4533577431971374,0.09540650744778231,0.7896005509641874,1.741672140406872,1.0,0.04062782365629995,2.5981163891252264,0.4843642939715082,0.19927000955939866,0.6151057727107078,0.5000223753352508
"frozenset({'dst_bytes', 'serror_rate'})",frozenset({'src_bytes'}),0.012066239494050095,0.4909295165182658,0.011442123658150952,0.9482758620689655,1.9315926831905685,1.0,0.005518450537143335,9.84202934731353,0.48818304337172264,0.023277467411545627,0.8983949382072348,0.48579146099464887
"frozenset({'serror_rate', 'src_bytes'})",frozenset({'dst_bytes'}),0.012440708995589581,0.4533577431971374,0.011442123658150952,0.9197324414715718,2.028712325470609,1.0,0.005802031904138134,6.8102514493356585,0.5134643506903882,0.02518315018315018,0.8531625436388915,0.47248553057425874
"frozenset({'dst_bytes', 'src_bytes'})",frozenset({'dst_host_same_srv_rate'}),0.42456519930099024,0.49887659149538155,0.38611966380960305,0.9094472755782047,1.8229904771681877,1.0,0.1743140243147677,5.5340511475986265,0.784538546887077,0.7185999690258634,0.8193005497547802,0.8417127954204617
"frozenset({'dst_bytes', 'dst_host_same_srv_rate'})",frozenset({'src_bytes'}),0.4076724640093201,0.4909295165182658,0.38611966380960305,0.9471320677689324,1.929262828778585,1.0,0.18598121815569743,9.629097677903538,0.8131772988102044,0.753430218397337,0.8961481092569287,0.8668196994493447
"frozenset({'src_bytes', 'dst_host_same_srv_rate'})",frozenset({'dst_bytes'}),0.41237413663976036,0.4533577431971374,0.38611966380960305,0.9363333669659973,2.0653300423697485,1.0,0.19916665586973334,8.586008569212627,0.8777964289115091,0.8050663659234838,0.8835314463130446,0.8940110300321911
frozenset({'dst_bytes'}),"frozenset({'src_bytes', 'dst_host_same_srv_rate'})",0.4533577431971374,0.41237413663976036,0.38611966380960305,0.8516886930983847,2.0653300423697485,1.0,0.19916665586973334,3.9621110192903273,0.9436077763371321,0.8050663659234838,0.7476092933460723,0.8940110300321911
frozenset({'src_bytes'}),"frozenset({'dst_bytes', 'dst_host_same_srv_rate'})",0.4909295165182658,0.4076724640093201,0.38611966380960305,0.7865073311297568,1.929262828778585,1.0,0.18598121815569743,2.7744631191560276,0.9461701696658823,0.753430218397337,0.6395699070225186,0.8668196994493447
frozenset({'dst_host_same_srv_rate'}),"frozenset({'dst_bytes', 'src_bytes'})",0.49887659149538155,0.42456519930099024,0.38611966380960305,0.7739783152627189,1.8229904771681877,1.0,0.1743140243147677,2.5459274023546588,0.9008774579415706,0.7185999690258634,0.6072158227783214,0.8417127954204617
"frozenset({'dst_bytes', 'dst_host_diff_srv_rate'})",frozenset({'src_bytes'}),0.05608720978613631,0.4909295165182658,0.049429974203212115,0.8813056379821959,1.7951775322708785,1.0,0.021895107420045672,4.288918823333611,0.46927219831213485,0.09933940964963625,0.7668410055794112,0.49099606841901555
"frozenset({'dst_bytes', 'class'})",frozenset({'src_bytes'}),0.013896979279354248,0.4909295165182658,0.011816593159690438,0.8502994011976047,1.7320193074314123,1.0,0.0049941558410127,3.400590829657983,0.42859541213525887,0.02396826736433454,0.7059334538931943,0.43718461881221027
"frozenset({'dst_bytes', 'service_http'})",frozenset({'src_bytes'}),0.29861862361654323,0.4909295165182658,0.298285761837397,0.9988853281315313,2.034681750683382,1.0,0.15168506532197748,456.6998574935599,0.725030154243643,0.6071821800626747,0.9978103781212279,0.8032395960091507
"frozenset({'dst_bytes', 'src_bytes'})",frozenset({'service_http'}),0.42456519930099024,0.3324040941998835,0.298285761837397,0.7025676205409643,2.113594967089941,1.0,0.15715855133495835,2.244530023981677,0.9156075603493671,0.6503084179970973,0.5544724332864779,0.7999632444925375
"frozenset({'service_http', 'src_bytes'})",frozenset({'dst_bytes'}),0.29861862361654323,0.4533577431971374,0.298285761837397,0.9988853281315313,2.203304880351801,1.0,0.16290469655796558,490.40643463427784,0.7786581824764702,0.6574651504035216,0.9979608750428698,0.8284165994548993
frozenset({'service_http'}),"frozenset({'dst_bytes', 'src_bytes'})",0.3324040941998835,0.42456519930099024,0.298285761837397,0.8973588684441107,2.113594967089941,1.0,0.15715855133495835,5.606278808273649,0.7892086356891086,0.6503084179970973,0.821628564293981,0.7999632444925375
"frozenset({'dst_host_same_srv_rate', 'hot'})",frozenset({'src_bytes'}),0.011774985437297162,0.4909295165182658,0.011650162270117333,0.9893992932862191,2.015359150338248,1.0,0.005869474362375417,48.022315608443755,0.5098135717593846,0.02372479240806643,0.9791763477597867,0.5065650589661878
"frozenset({'hot', 'class'})",frozenset({'src_bytes'}),0.01202463177165682,0.4909295165182658,0.011774985437297162,0.9792387543252595,1.994662617294117,1.0,0.005871738775327502,24.52022828770355,0.5047312917653484,0.023972892842016095,0.9592173454395821,0.5016119189034552
"frozenset({'service_http', 'hot'})",frozenset({'src_bytes'}),0.01015228426395939,0.4909295165182658,0.01015228426395939,1.0,2.036952284091872,1.0,0.005168228258697809,inf,0.514291719209752,0.02067971862022205,1.0,0.510339859310111
"frozenset({'src_bytes', 'diff_srv_rate'})",frozenset({'count'}),0.011483731380544229,0.4992926687193143,0.010859615544645086,0.9456521739130435,1.8939836956521738,1.0,0.005125872656797422,9.213014895564614,0.47749578363440554,0.021722846441947562,0.8914578982737317,0.48370108695652175
"frozenset({'count', 'src_bytes'})",frozenset({'dst_host_same_srv_rate'}),0.12082882583007407,0.49887659149538155,0.10751435466422568,0.8898071625344353,1.7836217968601016,1.0,0.047235681879729215,4.547694932179413,0.4997241021598566,0.209910641754671,0.7801083812979589,0.5526600449869841
"frozenset({'count', 'dst_host_same_srv_rate'})",frozenset({'src_bytes'}),0.12149454938836649,0.4909295165182658,0.10751435466422568,0.8849315068493151,1.8025632541415746,1.0,0.04786909427339036,4.424064915972215,0.5068089753662192,0.21293778327152865,0.773963533765136,0.5519665585776367
"frozenset({'count', 'service_ecr_i'})",frozenset({'src_bytes'}),0.021802446534076723,0.4909295165182658,0.021802446534076723,1.0,2.036952284091872,1.0,0.011098981998187098,inf,0.5204168438962145,0.044410543266378506,1.0,0.5222052716331893
"frozenset({'service_ecr_i', 'src_bytes'})",frozenset({'count'}),0.02392444037613381,0.4992926687193143,0.021802446534076723,0.9113043478260869,1.825190724637681,1.0,0.009857148851060758,5.645229715419494,0.4631937025748024,0.04348186872458716,0.8228592899827301,0.4774855072463768
frozenset({'service_ecr_i'}),"frozenset({'count', 'src_bytes'})",0.02546392610468503,0.12082882583007407,0.021802446534076723,0.8562091503267973,7.086133167683969,1.0,0.01872567024182386,6.1142358930908465,0.8813212084156541,0.17513368983957217,0.8364472654497987,0.5183249608383298
"frozenset({'count', 'service_http'})",frozenset({'src_bytes'}),0.05542148622784389,0.4909295165182658,0.047016726304402096,0.8483483483483483,1.7280451058737354,1.0,0.01980868286584297,3.3568410098894534,0.4460311087167869,0.09415882009832513,0.7021008748838743,0.47205958819231125
"frozenset({'serror_rate', 'src_bytes'})",frozenset({'dst_host_same_srv_rate'}),0.012440708995589581,0.49887659149538155,0.010901223267038362,0.8762541806020067,1.7564547937104777,1.0,0.0046948447675327,4.049618895753538,0.43609672320163634,0.02178431861644633,0.7530631830445557,0.4490528617772335
"frozenset({'serror_rate', 'dst_host_same_srv_rate'})",frozenset({'src_bytes'}),0.015103603228759258,0.4909295165182658,0.010901223267038362,0.721763085399449,1.4701969653776048,1.0,0.0034864186362598614,1.8296295594442524,0.3247235239048264,0.022016806722689075,0.4534412745803316,0.37198417851631915
"frozenset({'serror_rate', 'src_bytes'})",frozenset({'service_http'}),0.012440708995589581,0.3324040941998835,0.010526753765498876,0.8461538461538461,2.545557834329896,1.0,0.006391411160615579,4.339373387700757,0.6148074381906276,0.03148724331051649,0.7695519812067023,0.4389111952010938
"frozenset({'dst_host_same_srv_rate', 'dst_host_diff_srv_rate'})",frozenset({'src_bytes'}),0.03199633852042939,0.4909295165182658,0.02821003578264126,0.881664499349805,1.7959085157533021,1.0,0.012502088782452094,4.301925294477512,0.4578275696144271,0.05702270815811607,0.7675459401204097,0.46956349808578474
"frozenset({'service_ecr_i', 'dst_host_same_srv_rate'})",frozenset({'src_bytes'}),0.015270034118332363,0.4909295165182658,0.013813763834567696,0.9046321525885558,1.8426925294782057,1.0,0.006317253367637366,5.337967641079895,0.46440738234978196,0.028054757478451917,0.8126627834338659,0.4663850651916421
"frozenset({'service_http', 'src_bytes'})",frozenset({'dst_host_same_srv_rate'}),0.29861862361654323,0.49887659149538155,0.29853540817175667,0.9997213320328828,2.0039451621416435,1.0,0.14956156706489332,1798.281351418859,0.714282365766225,0.5983155436957972,0.9994439134903941,0.7990683390773254
"frozenset({'service_http', 'dst_host_same_srv_rate'})",frozenset({'src_bytes'}),0.32250145627028376,0.4909295165182658,0.29853540817175667,0.9256870081279834,1.8855802655604674,1.0,0.14020992416854963,6.850356453935624,0.6932255161910811,0.5797979797979796,0.8540221947975443,0.7668946948428712
"frozenset({'src_bytes', 'dst_host_same_srv_rate'})",frozenset({'service_http'}),0.41237413663976036,0.3324040941998835,0.29853540817175667,0.7239430935324387,2.1779006521415236,1.0,0.16146055681055815,2.4183271280646763,0.9203853451791517,0.668997668997669,0.5864910133972348,0.8110264973232353
frozenset({'service_http'}),"frozenset({'src_bytes', 'dst_host_same_srv_rate'})",0.3324040941998835,0.41237413663976036,0.29853540817175667,0.8981099011140318,2.1779006521415236,1.0,0.16146055681055815,5.767251870251785,0.8101341371121943,0.668997668997669,0.8266071913456519,0.8110264973232353
"frozenset({'src_bytes', 'service_ecr_i'})",frozenset({'class'}),0.02392444037613381,0.4885994840642423,0.023508363152201048,0.9826086956521739,2.0110719059273054,1.0,0.011818893927896342,29.40552966630605,0.5150756337454878,0.048072832468305966,0.9659927907659545,0.5153612327788247
"frozenset({'service_ecr_i', 'class'})",frozenset({'src_bytes'}),0.02392444037613381,0.4909295165182658,0.023508363152201048,0.9826086956521739,2.001527026977231,1.0,0.0117631492053756,29.2715528001997,0.5126462398905717,0.04784486408671352,0.965837138643592,0.5152470548351555
frozenset({'service_ecr_i'}),"frozenset({'src_bytes', 'class'})",0.02546392610468503,0.04268952317550137,0.023508363152201048,0.9232026143790849,21.62597625144925,1.0,0.02242132028861584,12.465404506736014,0.9786803572467607,0.5265610438024231,0.9197779743561773,0.736942437793831
"frozenset({'dst_host_same_srv_rate', 'hot'})",frozenset({'dst_bytes'}),0.011774985437297162,0.4533577431971374,0.01102604643421819,0.9363957597173145,2.065467666028445,1.0,0.005687765610185991,8.594431037511672,0.52199462505253,0.02428074033351658,0.8836455844912419,0.4803583057030038
"frozenset({'dst_bytes', 'class'})",frozenset({'hot'}),0.013896979279354248,0.020470999417491885,0.011400515935757676,0.8203592814371257,40.07421741882089,1.0,0.011116030881025118,5.452711436575959,0.9887874588068619,0.496376811594203,0.81660500255118,0.6886349252714083
"frozenset({'hot', 'class'})",frozenset({'dst_bytes'}),0.01202463177165682,0.4533577431971374,0.011400515935757676,0.9480968858131488,2.091277583850332,1.0,0.0059490560129827445,10.531974147735149,0.5281745061964639,0.025112272019063332,0.9050510392474667,0.4866218643456346
"frozenset({'dst_bytes', 'diff_srv_rate'})",frozenset({'count'}),0.013189647998668553,0.4992926687193143,0.012482316717982857,0.9463722397476341,1.8954258675078863,1.0,0.005896822169259273,9.336719059763373,0.47872833832272205,0.024964633435965715,0.8928959955205781,0.48568611987381705
"frozenset({'dst_bytes', 'count'})",frozenset({'dst_host_same_srv_rate'}),0.1081800782225181,0.49887659149538155,0.10634933843721395,0.9830769230769231,1.9705813819208313,1.0,0.05238082974586036,29.611837775272896,0.5522813928348376,0.21239820508559085,0.9662297217893365,0.5981272855584783
"frozenset({'count', 'dst_host_same_srv_rate'})",frozenset({'dst_bytes'}),0.12149454938836649,0.4533577431971374,0.10634933843721395,0.8753424657534247,1.930798533582765,1.0,0.05126884371575097,4.38515216995703,0.548749667021103,0.22699822380106574,0.7719577425725231,0.5549619817753908
"frozenset({'count', 'service_http'})",frozenset({'dst_bytes'}),0.05542148622784389,0.4533577431971374,0.04709994174918865,0.8498498498498498,1.874567849788114,1.0,0.02197418182830211,3.6406374303070637,0.493917349166478,0.10201874549387165,0.7253228262514302,0.47687059306002033
"frozenset({'dst_bytes', 'serror_rate'})",frozenset({'dst_host_same_srv_rate'}),0.012066239494050095,0.49887659149538155,0.01102604643421819,0.9137931034482758,1.8317017054441918,1.0,0.005006482003259522,5.81303153865357,0.4596052865788537,0.022055763628797336,0.8279727207137048,0.4679474274539127
"frozenset({'serror_rate', 'dst_host_same_srv_rate'})",frozenset({'dst_bytes'}),0.015103603228759258,0.4533577431971374,0.01102604643421819,0.7300275482093663,1.6102681804023413,1.0,0.004178710960282895,2.0248075430555006,0.3847972560963458,0.02410405675823176,0.5061259014814972,0.37717419994902973
"frozenset({'dst_bytes', 'serror_rate'})",frozenset({'service_http'}),0.012066239494050095,0.3324040941998835,0.010651576932678705,0.8827586206896552,2.6556791450313146,1.0,0.006640709523260123,5.694200373000993,0.6310630448744946,0.031908263741742486,0.8243827167126938,0.4574013406364786
"frozenset({'dst_bytes', 'diff_srv_rate'})",frozenset({'dst_host_same_srv_rate'}),0.013189647998668553,0.49887659149538155,0.011192477323791295,0.8485804416403785,1.7009826800988204,1.0,0.004612470687191647,3.309502510332583,0.4176127016948456,0.02234590463532148,0.6978397819980784,0.4355079022213569
"frozenset({'dst_host_same_srv_rate', 'diff_srv_rate'})",frozenset({'dst_bytes'}),0.012274278106016476,0.4533577431971374,0.011192477323791295,0.911864406779661,2.0113573010776773,1.0,0.005627838302273631,6.202287144494014,0.5090717813971675,0.024629188793261304,0.8387691545549073,0.46827618283182754
"frozenset({'dst_host_same_srv_rate', 'dst_host_diff_srv_rate'})",frozenset({'dst_bytes'}),0.03199633852042939,0.4533577431971374,0.024090871265706915,0.752925877763329,1.6607764818432313,1.0,0.009585083443513411,2.212462607796849,0.41102325203306345,0.052228035359913404,0.5480149601281663,0.40303232214157636
"frozenset({'dst_bytes', 'service_http'})",frozenset({'dst_host_same_srv_rate'}),0.29861862361654323,0.49887659149538155,0.29853540817175667,0.9997213320328828,2.0039451621416435,1.0,0.14956156706489332,1798.281351418859,0.714282365766225,0.5983155436957972,0.9994439134903941,0.7990683390773254
"frozenset({'dst_bytes', 'dst_host_same_srv_rate'})",frozenset({'service_http'}),0.4076724640093201,0.3324040941998835,0.29853540817175667,0.7322923045519494,2.2030183061211104,1.0,0.163023412042504,2.4937494033661998,0.9219178154612196,0.6761213720316622,0.5989973977938019,0.8152011028329906
"frozenset({'service_http', 'dst_host_same_srv_rate'})",frozenset({'dst_bytes'}),0.32250145627028376,0.4533577431971374,0.29853540817175667,0.9256870081279834,2.041846691753667,1.0,0.15232687577927054,7.355944674442682,0.7531341145646654,0.6254358437935844,0.8640555300158285,0.7920927698496011
frozenset({'service_http'}),"frozenset({'dst_bytes', 'dst_host_same_srv_rate'})",0.3324040941998835,0.4076724640093201,0.29853540817175667,0.8981099011140318,2.2030183061211104,1.0,0.163023412042504,5.813396418955209,0.8179758193147973,0.6761213720316622,0.8279835180791402,0.8152011028329906
"frozenset({'service_http', 'hot'})",frozenset({'dst_host_same_srv_rate'}),0.01015228426395939,0.49887659149538155,0.01015228426395939,1.0,2.004503753127606,1.0,0.005087547294463131,inf,0.5062631357713325,0.020350291909924934,1.0,0.5101751459549625
